1,2,3,4,5,6,7,8,9,10,11,12
7809.9,7799.5,7790.6,7795.2,7784.8,7782.4,7802.4,7815.5,7775.9,7821.5,7798.7,7814.0
8175.7,8167.6,8161.2,8154.4,8186.6,8181.0,8172.0,8184.3,8179.3,8198.8,8174.0,8193.1
8481.8,8503.2,8521.1,8475.1,8525.9,8513.4,8529.0,8539.2,8497.7,8543.0,8519.3,8519.5
8789.1,8759.9,8781.4,8779.3,8788.2,8766.6,8775.6,8773.2,8792.8,8768.7,8805.1,8785.0
8477.9,8479.5,8501.7,8476.5,8475.4,8471.0,8486.9,8472.7,8509.9,8500.4,8486.3,8489.1
8520.9,8534.6,8530.3,8543.4,8506.3,8552.3,8547.1,8553.4,8538.3,8569.3,8530.0,8542.5
8164.5,8162.9,8165.9,8199.4,8163.3,8174.5,8162.9,8177.3,8180.9,8176.4,8147.4,8202.1
8715.9,8732.1,8725.0,8710.1,8715.2,8724.9,8754.3,8729.5,8713.4,8736.2,8725.1,8739.8
8886.5,8879.6,8865.1,8893.3,8866.6,8900.4,8876.0,8862.7,8896.4,8883.4,8914.6,8906.7
8877.8,8884.0,8908.4,8864.8,8896.4,8888.5,8901.8,8922.2,8917.2,8913.0,8936.6,8866.6
8474.9,8479.6,8494.9,8496.2,8482.6,8508.9,8482.2,8515.9,8504.2,8497.4,8509.2,8514.8
8294.6,8289.5,8301.1,8270.9,8275.7,8299.5,8297.1,8295.1,8301.1,8299.7,8299.8,8288.8
8300.0,8278.3,8295.8,8314.8,8319.6,8301.5,8323.7,8303.5,8309.6,8301.3,8308.1,8314.4
8923.5,8913.7,8924.8,8931.2,8933.7,8952.1,8914.9,8940.9,8951.2,8914.7,8934.8,8956.9
9115.8,9107.7,9113.9,9156.5,9097.2,9122.8,9152.4,9122.8,9143.7,9129.6,9151.9,9124.7
8429.1,8413.1,8417.0,8438.6,8425.3,8450.2,8417.5,8454.6,8441.9,8464.3,8453.5,8417.2
9950.9,9944.2,9980.7,9959.9,9969.4,10000.8,9982.5,9993.5,9979.5,9977.5,10007.4,9962.3
9140.4,9128.2,9140.5,9125.3,9159.6,9145.2,9151.0,9152.1,9161.9,9140.6,9174.2,9171.9
8837.9,8836.7,8801.3,8850.5,8825.9,8863.0,8852.3,8833.5,8835.4,8844.5,8827.8,8845.5
7945.0,7975.2,7952.5,7952.6,7974.7,7918.8,7962.8,7964.9,7956.6,7960.0,7944.5,7971.4
8705.4,8719.3,8699.8,8727.6,8695.7,8708.7,8725.7,8693.8,8710.2,8749.8,8697.3,8724.0
9343.0,9349.3,9314.3,9306.0,9355.6,9342.5,9307.8,9351.7,9351.1,9343.9,9331.1,9337.8
8567.9,8600.6,8621.6,8576.6,8567.9,8591.5,8589.6,8590.7,8587.2,8601.8,8625.3,8599.2
8720.6,8733.4,8734.9,8758.1,8778.8,8774.1,8764.5,8743.0,8743.3,8753.1,8769.3,8769.4
8717.4,8709.1,8744.9,8742.1,8757.8,8755.7,8756.8,8742.7,8753.1,8737.1,8755.8,8751.5
9489.9,9502.1,9480.7,9517.6,9518.5,9521.2,9501.1,9525.3,9501.2,9532.8,9511.5,9539.4
9613.3,9623.5,9628.0,9647.6,9610.1,9628.3,9630.0,9614.0,9637.1,9666.3,9661.7,9620.2
8925.7,8910.5,8899.5,8897.2,8892.4,8916.8,8895.7,8905.7,8919.5,8936.9,8931.3,8932.7
9115.0,9101.2,9120.6,9123.1,9111.0,9091.1,9099.9,9098.7,9097.0,9088.1,9087.1,9094.0
