Wavelength[nm],ADC
494.034,8276
494.450,8103
494.866,8694
495.283,8734
495.699,9440
496.116,9509
496.532,8865
496.949,8149
497.365,8674
497.782,8609
498.199,8502
498.616,9104
499.032,7860
499.449,9326
499.866,8171
500.283,9401
500.700,8550
501.117,7715
501.534,7711
501.951,7792
502.368,8566
502.786,8085
503.203,9410
503.620,8009
504.038,7622
504.455,8320
504.872,8193
505.290,7588
505.707,8060
506.125,8480
506.542,8648
506.960,7864
507.378,8550
507.796,8190
508.213,7668
508.631,8868
509.049,8328
509.467,8686
509.885,8601
510.303,7418
510.721,9351
511.139,8037
511.557,8302
511.975,8795
512.394,8387
512.812,9202
513.230,9198
513.649,9446
514.067,8156
514.486,8762
514.904,8378
515.323,8404
515.741,7953
516.160,7790
516.579,7694
516.997,9042
517.416,7953
517.835,8344
518.254,8035
518.673,7891
519.092,8071
519.511,8602
519.930,8384
520.349,8307
520.768,8527
521.187,8924
521.606,8194
522.025,8969
522.445,8152
522.864,7993
523.284,7928
523.703,8783
524.122,8369
524.542,8104
524.961,7904
525.381,7594
525.801,8177
526.220,8512
526.640,9199
527.060,8688
527.480,8465
527.900,8544
528.320,8551
528.740,8144
529.160,8458
529.580,9153
530.000,8281
530.420,7492
530.840,8353
531.260,8083
531.681,7590
532.101,8000
532.521,8162
532.942,8383
533.362,8782
533.783,8404
534.203,8127
534.624,8579
535.044,8652
535.465,7914
535.886,7857
536.306,7569
536.727,8226
537.148,8174
537.569,8363
537.990,8302
538.411,8206
538.832,7674
539.253,8096
539.674,11488
540.095,8066
540.516,8129
540.938,8939
541.359,8215
541.780,8274
542.201,8234
542.623,8469
543.044,8966
543.466,7860
543.887,8349
544.309,7763
544.731,8562
545.152,8335
545.574,8907
545.996,7811
546.417,8829
546.839,8055
547.261,8643
547.683,7637
548.105,8273
548.527,7697
548.949,8140
549.371,8555
549.793,7344
550.215,8422
550.638,8147
551.060,9018
551.482,7366
551.905,8528
552.327,8350
552.749,8318
553.172,8386
553.594,8225
554.017,7780
554.440,8378
554.862,7639
555.285,8551
555.708,8415
556.130,7994
556.553,8680
556.976,7854
557.399,7643
557.822,8694
558.245,7411
558.668,8413
559.091,7590
559.514,7588
559.937,8586
560.361,8365
560.784,8049
561.207,7997
561.630,8555
562.054,8502
562.477,7451
562.901,8528
563.324,8903
563.748,8872
564.171,8325
564.595,8213
565.019,8049
565.442,8106
565.866,7933
566.290,8134
566.714,8207
567.138,7725
567.561,8134
567.985,8150
568.409,8864
568.833,7736
569.258,7911
569.682,8702
570.106,8359
570.530,8822
570.954,7540
571.379,8164
571.803,8660
572.227,8542
572.652,7513
573.076,9899
573.501,7895
573.925,7987
574.350,7987
574.775,8373
575.199,8768
575.624,7905
576.049,8692
576.474,9190
576.898,8651
577.323,8992
577.748,8378
578.173,8905
578.598,8681
579.023,8680
579.448,7829
579.873,8146
580.299,8288
580.724,8115
581.149,8441
581.574,9356
582.000,8994
582.425,8518
582.851,8765
583.276,8562
583.702,8429
584.127,8331
584.553,8811
584.978,8130
585.404,8029
585.830,8739
586.255,8636
586.681,8450
587.107,7910
587.533,8275
587.959,8891
588.385,8800
588.811,8473
589.237,7914
589.663,9872
590.089,8475
590.515,8866
590.942,8114
591.368,8200
591.794,7716
592.220,8395
592.647,7967
593.073,8516
593.500,8785
593.926,8191
594.353,8551
594.779,8907
595.206,8267
595.633,8141
596.059,7961
596.486,8396
596.913,8480
597.340,8471
597.766,8182
598.193,8154
598.620,8584
599.047,8365
599.474,8241
599.901,7904
600.329,8624
600.756,8790
601.183,8561
601.610,8796
602.037,8328
602.465,8485
602.892,8933
603.319,8047
603.747,7956
604.174,8936
604.602,8753
605.029,8369
605.457,8105
605.885,7698
606.312,7968
606.740,8042
607.168,8102
607.596,7644
608.023,8059
608.451,8271
608.879,8175
609.307,8643
609.735,9019
610.163,8114
610.591,9251
611.019,8543
611.448,9190
611.876,8794
612.304,8243
612.732,7878
613.161,8299
613.589,8188
614.017,7862
614.446,8097
614.874,7908
615.303,8187
615.731,8270
616.160,7967
616.589,8356
617.017,7697
617.446,8326
617.875,7848
618.304,8049
618.732,9154
619.161,8944
619.590,8015
620.019,8921
620.448,7886
620.877,8283
621.306,8059
621.735,7486
622.164,7690
622.594,8219
623.023,8705
623.452,7802
623.881,7863
624.311,8201
624.740,8085
625.170,7705
625.599,11506
626.029,8447
626.458,7985
626.888,8745
627.317,8137
627.747,8904
628.177,8124
628.607,8105
629.036,7642
629.466,7666
629.896,8010
630.326,7695
630.756,7784
631.186,7828
631.616,7983
632.046,8296
632.476,8260
632.906,7979
633.336,8462
633.766,7468
634.197,8493
634.627,6946
635.057,7754
635.488,7964
635.918,7769
636.349,7596
636.779,8000
637.210,7616
637.640,7674
638.071,7979
638.501,8379
638.932,8659
639.363,8296
639.794,8076
640.224,8118
640.655,7891
641.086,7442
641.517,8242
641.948,8089
642.379,7868
642.810,8115
643.241,7941
643.672,9293
644.103,8685
644.534,8272
644.966,8670
645.397,7360
645.828,8162
646.259,7695
646.691,8636
647.122,8103
647.554,7955
647.985,7955
648.417,8546
648.848,8755
649.280,8435
649.712,8046
650.143,8799
650.575,7340
651.007,8654
651.438,8278
651.870,8028
652.302,8108
652.734,8249
653.166,7860
653.598,8487
654.030,8366
654.462,8259
654.894,8230
655.326,7932
655.758,8280
656.191,8299
656.623,7894
657.055,7892
657.487,7777
657.920,8011
658.352,8414
658.785,8745
659.217,8120
659.650,8674
660.082,8263
660.515,8197
660.947,7916
661.380,8043
661.813,8237
662.246,8750
662.678,6934
663.111,8546
663.544,7686
663.977,8588
664.410,7851
664.843,7655
665.276,8987
665.709,8624
666.142,7649
666.575,8328
667.008,8062
667.441,8247
667.875,8327
